CINF,Financials,1.47,0.36,0.15,0.43,119.09
NI,Utilities,0.0,0.0,0.15,0.37,119.03
PPL,Utilities,0.22,0.0,0.14,0.57,118.56
WEC,Utilities,0.44,13.54,0.23,0.75,118.36
PNW,Utilities,0.22,0.0,0.13,0.5,118.09
CMS,Utilities,0.34,0.0,0.24,0.49,117.79
CNP,Utilities,0.0,0.0,0.13,0.19,117.71
XEL,Utilities,0.45,0.0,0.22,0.59,117.39
ED,Utilities,0.27,0.0,0.1,0.38,116.69
FE,Utilities,0.41,0.0,0.23,0.35,116.26
CB,Financials,1.09,0.29,0.12,0.43,116.03
WRB,Financials,0.94,0.31,0.18,0.32,114.8
WLTW,Financials,0.91,0.71,0.25,0.64,114.13
MSCI,Financials,0.98,1.59,0.0,4.45,113.05
COP,Energy,0.0,0.79,0.15,0.56,113.04
OKE,Energy,0.51,0.0,0.3,0.46,112.82
HAL,Energy,0.0,0.41,0.33,0.25,112.66
SCHW,Financials,0.65,0.0,0.23,1.58,112.4
FRC,Financials,0.64,0.0,0.23,1.32,112.39
CFG,Financials,0.55,0.0,0.07,0.49,111.92
